Root	Category	Name	TunerType	DiseqC	LNB-Selection	LNB	Frequency	Polarity	Symbolrate	FEC	APID	VPID	PMTPID	PCRPID	AC3	TelePID	SID	StreamID	Encrypted	NetworkID	SatModulation	SatModulationSystem	Group	Language	AudioChannel	EPGFlag	Volume	OrbitalPos	DiSEqCValue
Astra 19.2°E	DIGITAL+	CANAL+ LIGA (spa)	1	3	0	9750	10877	v	22000	3	80	160	1035	160	0	0	30611	1060	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ LIGA (dos)	1	3	0	9750	10877	v	22000	3	81	160	1035	160	0	0	30611	1060	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ LIGA (tre)	1	3	0	9750	10877	v	22000	3	82	160	1035	160	0	0	30611	1060	153	1	1	0	0	tre	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ XTRA (spa)	1	3	0	9750	10980	v	22000	3	96	164	1031	164	0	44	30661	1034	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+ XTRA (dos)	1	3	0	9750	10980	v	22000	3	97	164	1031	164	0	44	30661	1034	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 ...30 (spa)	1	3	0	9750	11318	v	22000	3	136	174	1041	174	0	74	29817	1008	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 ...30 (dos)	1	3	0	9750	11318	v	22000	3	137	174	1041	174	0	74	29817	1008	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (AC3,spa)	1	3	0	9750	11436	v	22000	1	96	164	1024	164	17	0	29900	1016	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (AC3,qaa)	1	3	0	9750	11436	v	22000	1	97	164	1024	164	17	0	29900	1016	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (2)	1	3	0	9750	11436	v	22000	1	98	164	1024	164	16	0	29900	1016	153	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (3)	1	3	0	9750	11436	v	22000	1	99	164	1024	164	16	0	29900	1016	153	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (AC3,spa)	1	3	0	9750	11436	v	22000	1	96	164	1032	164	17	0	29909	1016	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (AC3,qaa)	1	3	0	9750	11436	v	22000	1	97	164	1032	164	17	0	29909	1016	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (2)	1	3	0	9750	11436	v	22000	1	98	164	1032	164	16	0	29909	1016	153	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	CANAL+1 HD (3)	1	3	0	9750	11436	v	22000	1	99	164	1032	164	16	0	29909	1016	153	1	134	0	0		0	0	0	192	0
Astra 19.2°E	DIGITAL+	CAZA Y PESCA (spa)	1	3	0	9750	11156	v	22000	3	116	169	1031	169	0	0	30507	1046	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CAZA Y PESCA (dos)	1	3	0	9750	11156	v	22000	3	117	169	1031	169	0	0	30507	1046	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC (spa)	1	3	0	9750	11156	v	22000	3	104	166	1029	166	0	50	30505	1046	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC (dos)	1	3	0	9750	11156	v	22000	3	105	166	1029	166	0	50	30505	1046	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC (spa)	1	3	0	9750	11156	v	22000	3	104	166	1041	166	0	50	30517	1046	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC (dos)	1	3	0	9750	11156	v	22000	3	105	166	1041	166	0	50	30517	1046	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (spa)	1	3	0	9750	10936	v	22000	1	92	162	1026	162	17	0	30752	1064	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (qaa)	1	3	0	9750	10936	v	22000	1	93	162	1026	162	17	0	30752	1064	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (spa)	1	3	0	9750	10936	v	22000	1	92	162	1031	162	17	0	30757	1064	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (qaa)	1	3	0	9750	10936	v	22000	1	93	162	1031	162	17	0	30757	1064	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (spa)	1	3	0	9750	10936	v	22000	1	92	162	1032	162	17	0	30758	1064	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (qaa)	1	3	0	9750	10936	v	22000	1	93	162	1032	162	17	0	30758	1064	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (spa)	1	3	0	9750	10936	v	22000	1	92	162	1033	162	17	0	30759	1064	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CINEMAGIC HD (qaa)	1	3	0	9750	10936	v	22000	1	93	162	1033	162	17	0	30759	1064	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CLAN  TVE (spa)	1	3	0	9750	10980	v	22000	3	80	160	1027	160	0	0	30654	1034	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CLAN  TVE (dos)	1	3	0	9750	10980	v	22000	3	81	160	1027	160	0	0	30654	1034	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	COSMO HD (spa)	1	3	0	9750	11259	v	22000	1	96	164	1028	164	17	0	30904	1004	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	COSMO HD (qaa)	1	3	0	9750	11259	v	22000	1	97	164	1028	164	17	0	30904	1004	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	COSMO HD (spa)	1	3	0	9750	11259	v	22000	1	96	164	1033	164	17	0	30909	1004	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	COSMO HD (qaa)	1	3	0	9750	11259	v	22000	1	97	164	1033	164	17	0	30909	1004	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	COSMOPOLITAN (spa)	1	3	0	9750	11156	v	22000	3	120	170	1035	170	0	62	30512	1046	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	COSMOPOLITAN (dos)	1	3	0	9750	11156	v	22000	3	121	170	1035	170	0	62	30512	1046	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CUATRO (spa)	1	3	0	9750	10980	v	22000	3	132	173	1029	173	0	71	30663	1034	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	CUATRO (dos)	1	3	0	9750	10980	v	22000	3	133	173	1029	173	0	71	30663	1034	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DCINE ESPAÑOL	1	3	0	9750	11156	v	22000	3	80	160	1042	160	0	0	30518	1046	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY CH HD (spa)	1	3	0	9750	11127	v	22000	1	104	164	1028	164	17	0	30854	1044	25	1	134	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY CH HD (qaa)	1	3	0	9750	11127	v	22000	1	105	164	1028	164	17	0	30854	1044	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY CH HD (SPA)	1	3	0	9750	11127	v	22000	1	104	164	1033	164	17	0	30859	1044	25	1	134	0	0	SPA	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY CH HD (qaa)	1	3	0	9750	11127	v	22000	1	105	164	1033	164	17	0	30859	1044	153	1	134	0	0	qaa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY CH. (spa)	1	3	0	9750	11038	v	22000	3	92	163	1027	163	0	41	30403	1038	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY CH. (eng)	1	3	0	9750	11038	v	22000	3	93	163	1027	163	0	41	30403	1038	153	1	1	0	0	eng	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY JR (spa)	1	3	0	9750	11318	v	22000	3	100	165	1027	165	0	47	29803	1008	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY JR (eng)	1	3	0	9750	11318	v	22000	3	101	165	1027	165	0	47	29803	1008	153	1	1	0	0	eng	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY XD (spa)	1	3	0	9750	11156	v	22000	3	92	163	1030	163	0	41	30506	1046	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DISNEY XD (dos)	1	3	0	9750	11156	v	22000	3	93	163	1030	163	0	41	30506	1046	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DIVINITY (spa)	1	3	0	9750	10759	v	22000	3	80	160	1024	160	0	32	29850	1052	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	DIVINITY (dos)	1	3	0	9750	10759	v	22000	3	81	160	1024	160	0	32	29850	1052	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	EL GARAGE TV	1	3	0	9750	11318	v	22000	3	96	164	1026	164	0	0	29802	1008	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	ENERGY (spa)	1	3	0	9750	10759	v	22000	3	100	165	1029	165	0	47	29855	1052	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	ENERGY (dos)	1	3	0	9750	10759	v	22000	3	101	165	1029	165	0	47	29855	1052	153	1	1	0	0	dos	0	0	0	192	0
Astra 19.2°E	DIGITAL+	FDF (spa)	1	3	0	9750	10980	v	22000	3	124	171	1024	171	0	0	30652	1034	25	1	1	0	0	spa	0	0	0	192	0
Astra 19.2°E	DIGITAL+	FDF (dos)	1	3	0	9750	10980	v	22000	3	125	171	1024	171	0	0	30652	1034	153	1	1	0	0	dos	0	0	0	192	0
